ID,Old ID,Name,Start,Stop,Direction,RAST,Subsystem,Subclass,Class,SuperClass
ACIAD_RS00005,ACIAD0001,dnaA,201,1598,+,Chromosomal replication initiator protein DnaA,"DNA replication, bacterial",DNA replication,DNA Processing,DNA Processing
ACIAD_RS00010,ACIAD0002,,1834,2982,+,DNA polymerase III beta subunit (EC 2.7.7.7),"DNA polymerase, bacterial",DNA replication,DNA Processing,DNA Processing
ACIAD_RS00015,ACIAD0003,recF,2998,4074,+,DNA recombination and repair protein RecF,"DNA repair, bacterial RecFOR pathway",DNA repair,DNA Processing,DNA Processing
ACIAD_RS00020,ACIAD0004,gyrB,4127,6595,+,DNA gyrase subunit B (EC 5.99.1.3),"Quinolone (Fluoroquinolone) resistance via Pentapeptide repeat proteins; Antibiotic targets in DNA processing; DNA topoisomerases, Type II, ATP-dependent",Resistance to antibiotics and toxic compounds; Resistance to antibiotics and toxic compounds; DNA replication,"Stress Response, Defense and Virulence; Stress Response, Defense and Virulence; DNA Processing","Stress Response, Defense, Virulence; Stress Response, Defense, Virulence; DNA Processing"
ACIAD_RS00025,ACIAD0005,,6712,6948,-,,,,,
ACIAD_RS00030,ACIAD0007,,7336,9270,-,Bis-ABC ATPase YheS,REG subfamily of ABC ATPases,,Miscellaneous,Miscellaneous
ACIAD_RS00035,ACIAD0008,,9651,10661,+,hypothetical protein; AdeT,,,,
ACIAD_RS00040,ACIAD0009,,10916,11920,+,hypothetical protein; AdeT,,,,
ACIAD_RS00045,ACIAD0010,erpA,12039,12374,+,Iron-sulfur cluster insertion protein ErpA,,,,
ACIAD_RS00050,ACIAD0011,,12436,13566,-,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-),Murein recycling,Amino sugars and nucleotide sugars ,Carbohydrates,Metabolism
ACIAD_RS00055,ACIAD0013,,13628,14860,+,Tyrosyl-tRNA synthetase (EC 6.1.1.1); tyrosine---tRNA ligase (EC 6.1.1.1),"tRNA aminoacylation, Tyr",Aminoacyl-tRNA-synthetases,Protein Synthesis,Protein Processing
